Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
BIKE,Sepeda Bersama Indonesia Tbk.,2022-03-21,1293334000.0,Pengembangan,Consumer Cyclicals,193,249613462000.0,2022-03-21 09:00:00,2023-01-06 15:59:00,2022-03-21 09:00:00,2023-01-06 15:00:00,2022-03-21,2023-01-06
BIMA,Primarindo Asia Infrastructure,1994-08-30,608175716.0,Pengembangan,Consumer Cyclicals,113,68723855908.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BINA,Bank Ina Perdana Tbk.,2014-01-16,5877722813.0,Utama,Financials,3930,23099450655090.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2014-01-16,2023-01-06
BINO,Perma Plasindo Tbk.,2021-11-25,2175000000.0,Pengembangan,Industrials,130,282750000000.0,2021-11-25 09:00:00,2023-01-06 15:59:00,2021-11-25 09:00:00,2023-01-06 15:00:00,2021-11-25,2023-01-06
BIPI,Astrindo Nusantara Infrastrukt,2010-02-11,44693066193.0,Pengembangan,Energy,153,6838039127529.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2010-02-11,2023-01-06
BIPP,Bhuwanatala Indah Permai Tbk.,1995-10-23,5028669366.0,Pengembangan,Properties & Real Estate,50,251433468300.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BIRD,Blue Bird Tbk.,2014-11-05,2502100000.0,Utama,Transportation & Logistic,1385,3465408500000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2014-11-05,2023-01-06
BISI,BISI International Tbk.,2007-05-28,3000000000.0,Utama,Consumer Non-Cyclicals,1550,4650000000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2007-05-28,2023-01-06
BJBR,Bank Pembangunan Daerah Jawa B,2010-07-08,10416229249.0,Utama,Financials,1345,14009828339905.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2010-07-08,2023-01-06
BJTM,Bank Pembangunan Daerah Jawa T,2012-07-12,14865343101.0,Utama,Financials,705,10480066886205.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2012-07-12,2023-01-06
BKDP,Bukit Darmo Property Tbk,2007-06-15,7513992252.0,Pengembangan,Properties & Real Estate,80,601119380160.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2007-06-15,2023-01-06
BKSL,Sentul City Tbk.,1997-07-28,67083561082.0,Utama,Properties & Real Estate,50,3354178054100.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BKSW,Bank QNB Indonesia Tbk.,2002-11-21,20232319124.0,Pengembangan,Financials,100,2023231912400.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2002-11-21,2023-01-06
BLTA,Berlian Laju Tanker Tbk,1990-03-26,25940187103.0,Utama,Transportation & Logistic,50,1297009355150.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BLTZ,Graha Layar Prima Tbk.,2014-04-10,873937142.0,Pengembangan,Consumer Cyclicals,2820,2464502740440.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2014-04-10,2023-01-06
BLUE,Berkah Prima Perkasa Tbk.,2019-07-08,418000000.0,Pengembangan,Industrials,280,117040000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2019-07-08,2023-01-06
BMAS,Bank Maspion Indonesia Tbk.,2013-07-11,4399026922.0,Pengembangan,Financials,1090,4794939344980.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2013-07-11,2023-01-06
BMHS,Bundamedik Tbk.,2021-07-06,8603416176.0,Utama,Healthcare,420,3613434793920.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2021-07-06 09:00:00,2023-01-06 15:00:00,2021-07-06,2023-01-06
BMRI,Bank Mandiri (Persero) Tbk.,2003-07-14,46199999998.0,Utama,Financials,9800,452759999980400.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2003-07-14,2023-01-06
BMSR,Bintang Mitra Semestaraya Tbk,1999-12-29,1159200024.0,Utama,Basic Materials,725,840420017400.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BMTR,Global Mediacom Tbk.,1995-07-17,16583997586.0,Utama,Industrials,268,4444511353048.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BNBA,Bank Bumi Arta Tbk.,2006-06-01,2744280000.0,Utama,Financials,920,2524737600000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2006-06-01,2023-01-06
BNBR,Bakrie & Brothers Tbk,1989-08-28,21160865261.0,Pengembangan,Industrials,70,1481260568270.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BNGA,Bank CIMB Niaga Tbk.,1989-11-29,24880290775.0,Utama,Financials,1145,28487932937375.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BNII,Bank Maybank Indonesia Tbk.,1989-11-21,75357433911.0,Utama,Financials,222,16729350328242.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BNLI,Bank Permata Tbk.,1990-01-15,35819545925.0,Utama,Financials,1010,36177741384250.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BOBA,Formosa Ingredient Factory Tbk,2021-11-01,1155750000.0,Pengembangan,Consumer Non-Cyclicals,185,213813750000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2021-11-01 09:00:00,2023-01-06 15:00:00,2021-11-01,2023-01-06
BOGA,Bintang Oto Global Tbk.,2016-12-19,3803526210.0,Pengembangan,Consumer Cyclicals,1260,4792443024600.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2016-12-19,2023-01-06
BOLA,Bali Bintang Sejahtera Tbk.,2019-06-17,6000000000.0,Pengembangan,Consumer Cyclicals,214,1284000000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2019-06-17,2023-01-06
BOLT,Garuda Metalindo Tbk.,2015-07-07,2343750000.0,Pengembangan,Consumer Cyclicals,715,1675781250000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2015-07-07,2023-01-06
BOSS,Borneo Olah Sarana Sukses Tbk.,2018-02-15,1400000000.0,Pengembangan,Energy,88,123200000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2018-02-15,2023-01-06
BPFI,Batavia Prosperindo Finance Tb,2009-06-01,2673995362.0,Pengembangan,Financials,655,1751466962110.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2009-06-01,2023-01-06
BPII,Batavia Prosperindo Internasio,2014-07-08,562224662.0,Pengembangan,Financials,10700,6015803883400.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2014-07-08,2023-01-06
BPTR,Batavia Prosperindo Trans Tbk.,2018-07-09,1550000000.0,Utama,Transportation & Logistic,193,299150000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2018-07-09,2022-12-30
BRAM,Indo Kordsa Tbk.,1990-09-05,450000000.0,Utama,Consumer Cyclicals,8175,3678750000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BRIS,Bank Syariah Indonesia Tbk.,2018-05-09,40717924372.0,Utama,Financials,1390,56597914877080.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2018-05-09,2023-01-06
BRMS,Bumi Resources Minerals Tbk.,2010-12-09,141784040338.0,Pengembangan,Basic Materials,152,21551174131376.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2010-12-09,2023-01-06
BRNA,Berlina Tbk.,1989-11-06,979110000.0,Pengembangan,Basic Materials,970,949736700000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BRPT,Barito Pacific Tbk.,1993-10-01,93747218044.0,Utama,Basic Materials,820,76872718796080.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BSBK,Wulandari Bangun Laksana Tbk.,2022-11-08 00:00:00,25091713397.0,Utama,Properties & Real Estate,138,3462656448786.0,2022-11-08 09:00:00,2023-01-06 15:59:00,2022-11-08 09:00:00,2023-01-06 15:00:00,2022-11-09,2023-01-06
BSDE,Bumi Serpong Damai Tbk.,2008-06-06,21171365812.0,Utama,Properties & Real Estate,905,19160086059860.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2008-06-06,2023-01-06
BSIM,Bank Sinarmas Tbk.,2010-12-13,19517921842.0,Utama,Financials,865,16883002393330.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2010-12-13,2023-01-06
BSML,Bintang Samudera Mandiri Lines,2021-12-16,1850225000.0,Pengembangan,Energy,322,595772450000.0,2021-12-16 09:00:00,2023-01-06 15:59:00,2021-12-16 09:00:00,2023-01-06 15:00:00,2021-12-16,2023-01-06
BSSR,Baramulti Suksessarana Tbk.,2012-11-08,2616500000.0,Pengembangan,Energy,4110,10753815000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2012-11-08,2023-01-06
BSWD,Bank Of India Indonesia Tbk.,2002-05-01,1374912000.0,Pengembangan,Financials,1375,1890504000000.0,,,,,2002-05-01,2023-01-06
BTEK,Bumi Teknokultura Unggul Tbk,2004-05-14,46277496376.0,Pengembangan,Consumer Non-Cyclicals,50,2313874818800.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2004-05-14,2023-01-06
BTEL,Bakrie Telecom Tbk.,2006-02-03,36822665755.0,Utama,Infrastructures,50,1841133287750.0,,,,,2006-02-03,2023-01-06
BTON,Betonjaya Manunggal Tbk.,2001-07-18,720000000.0,Pengembangan,Basic Materials,432,311040000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-07-18,2023-01-06
BTPN,Bank BTPN Tbk.,2008-03-12,8066054461.0,Utama,Financials,2530,20407117786330.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2008-03-12,2023-01-06
BTPS,Bank BTPN Syariah Tbk.,2018-05-08,7626663000.0,Utama,Financials,2620,19981857060000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2018-05-08,2023-01-06
BUAH,Segar Kumala Indonesia Tbk.,2022-08-09,1000000000.0,Pengembangan,Consumer Non-Cyclicals,975,975000000000.0,2022-08-09 09:00:00,2023-01-06 15:59:00,2022-08-09 09:00:00,2023-01-06 15:00:00,2022-08-09,2023-01-06
BUDI,Budi Starch & Sweetener Tbk.,1995-05-08,4498997362.0,Utama,Consumer Non-Cyclicals,222,998777414364.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BUKA,Bukalapak.com Tbk.,2021-08-06,103062019354.0,Pengembangan,Technology,254,26177752915916.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2021-08-06 09:00:00,2023-01-06 15:00:00,2021-08-06,2023-01-06
BUKK,Bukaka Teknik Utama Tbk.,2015-06-29,2640452000.0,Pengembangan,Infrastructures,1085,2864890420000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2015-06-29,2023-01-06
BULL,Buana Lintas Lautan Tbk.,2011-05-23,14117599210.0,Utama,Energy,161,2272933472810.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2011-05-23,2023-01-06
BUMI,Bumi Resources Tbk.,1990-07-30,115634113853.0,Pengembangan,Energy,148,17113848850244.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BUVA,Bukit Uluwatu Villa Tbk.,2010-07-12,6811269200.0,Pengembangan,Consumer Cyclicals,60,408676152000.0,,,2020-04-16 09:00:00,2022-04-15 16:00:00,2010-07-12,2023-01-06
BVIC,Bank Victoria International Tb,1999-06-30,10382261242.0,Utama,Financials,108,1121284214136.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BWPT,Eagle High Plantations Tbk.,2009-10-27,31525291000.0,Utama,Consumer Non-Cyclicals,65,2049143915000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2009-10-27,2023-01-06
BYAN,Bayan Resources Tbk.,2008-08-12,3333333500.0,Utama,Energy,20575,68583336762500.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2008-08-12,2023-01-06
CAKK,Cahayaputra Asa Keramik Tbk.,2018-10-31,1203300219.0,Pengembangan,Industrials,175,210577538325.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2018-10-31,2023-01-06
CAMP,Campina Ice Cream Industry Tbk,2017-12-19,5885000000.0,Utama,Consumer Non-Cyclicals,312,1836120000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2017-12-19,2023-01-06
CANI,Capitol Nusantara Indonesia Tb,2014-01-16,833440000.0,Pengembangan,Energy,78,65008320000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2014-01-16,2023-01-06
CARE,Metro Healthcare Indonesia Tbk,2020-03-13,33250000000.0,Pengembangan,Healthcare,474,15760500000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2020-03-13,2023-01-06
CARS,Industri dan Perdagangan Bintr,2017-04-10,15000000000.0,Utama,Consumer Cyclicals,76,1140000000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2017-04-10,2023-01-06
CASA,Capital Financial Indonesia Tb,2016-07-19,54476269803.0,Pengembangan,Financials,710,38678151560130.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2016-07-19,2023-01-06
CASH,Cashlez Worldwide Indonesia Tb,2020-05-04,1431125517.0,Akselerasi,Technology,123,176028438591.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-05-04 09:00:00,2023-01-06 15:00:00,2020-05-04,2023-01-06
CASS,Cardig Aero Services Tbk.,2011-12-05,2086950000.0,Pengembangan,Infrastructures,412,859823400000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2011-12-05,2023-01-06
CBMF,Cahaya Bintang Medan Tbk.,2020-04-09,1875000000.0,Pengembangan,Consumer Cyclicals,50,93750000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2020-04-09,2023-01-06
CBPE,Citra Buana Prasida Tbk.,2023-01-06 00:00:00,1356250000.0,Pengembangan,Properties & Real Estate,149,202081250000.0,2023-01-06 09:00:00,2023-01-06 15:59:00,2023-01-06 09:00:00,2023-01-06 15:00:00,2023-01-06,2023-01-06
CBUT,Citra Borneo Utama Tbk.,2022-11-08 00:00:00,3125000000.0,Utama,Consumer Non-Cyclicals,1935,6046875000000.0,2022-11-08 09:00:00,2023-01-06 15:59:00,2022-11-08 09:00:00,2023-01-06 15:00:00,2022-11-09,2023-01-06
CCSI,Communication Cable Systems In,2019-06-18,1199999998.0,Pengembangan,Industrials,670,803999998660.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2019-06-18,2023-01-06
CEKA,Wilmar Cahaya Indonesia Tbk.,1996-07-09,595000000.0,Utama,Consumer Non-Cyclicals,1975,1175125000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
CENT,Centratama Telekomunikasi Indo,2001-11-01,31183464900.0,Pengembangan,Infrastructures,107,3336630744300.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-11-01,2023-01-06
CFIN,Clipan Finance Indonesia Tbk.,1990-08-27,3984520457.0,Utama,Financials,294,1171449014358.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
CHEM,Chemstar Indonesia Tbk.,2022-07-08,1700000000.0,Pengembangan,Basic Materials,141,239700000000.0,2022-07-08 09:00:00,2023-01-06 15:59:00,2022-07-08 09:00:00,2023-01-06 15:00:00,2022-07-08,2023-01-06
CINT,Chitose Internasional Tbk.,2014-06-27,1000000000.0,Pengembangan,Consumer Cyclicals,224,224000000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2014-06-27,2023-01-06
CITA,Cita Mineral Investindo Tbk.,2002-03-20,3960361250.0,Pengembangan,Basic Materials,3460,13702849925000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2002-03-20,2023-01-06
CITY,Natura City Developments Tbk.,2018-09-28,5405188966.0,Utama,Properties & Real Estate,141,762131644206.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2018-09-28,2023-01-06
CLAY,Citra Putra Realty Tbk.,2019-01-18,2570000000.0,Pengembangan,Consumer Cyclicals,580,1490600000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2019-01-18,2023-01-06
CLEO,Sariguna Primatirta Tbk.,2017-05-05,12000000000.0,Utama,Consumer Non-Cyclicals,484,5808000000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2017-05-05,2023-01-06
CLPI,Colorpak Indonesia Tbk.,2001-11-30,306338500.0,Pengembangan,Basic Materials,925,283363112500.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-11-30,2023-01-06
CMNP,Citra Marga Nusaphala Persada ,1995-01-10,5434338797.0,Utama,Infrastructures,1920,10433930490240.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
CMNT,Cemindo Gemilang Tbk.,2021-09-08,17125504000.0,Utama,Basic Materials,900,15412953600000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2021-09-08 09:00:00,2023-01-06 15:00:00,2021-09-08,2023-01-06
CMPP,AirAsia Indonesia Tbk.,1994-12-08,10685124441.0,Pengembangan,Transportation & Logistic,180,1923322399380.0,2021-12-27 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
CMRY,Cisarua Mountain Dairy Tbk.,2021-12-06,7934683000.0,Utama,Consumer Non-Cyclicals,4270,33881096410000.0,2021-12-06 09:00:00,2023-01-06 15:59:00,2021-12-06 09:00:00,2023-01-06 15:00:00,2021-12-06,2023-01-06
CNKO,Exploitasi Energi Indonesia Tb,2001-11-20,8956361206.0,Utama,Energy,50,447818060300.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-11-20,2023-01-06
CNTX,Century Textile Industry Tbk.,1979-05-22,70000000.0,Pengembangan,Consumer Cyclicals,212,14840000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
COAL,Black Diamond Resources Tbk.,2022-09-07,6250000000.0,Pengembangan,Energy,120,750000000000.0,2022-09-07 09:00:00,2023-01-06 15:59:00,2022-09-07 09:00:00,2023-01-06 15:00:00,2022-09-07,2023-01-06
COCO,Wahana Interfood Nusantara Tbk,2019-03-20,889863981.0,Pengembangan,Consumer Non-Cyclicals,262,233144363022.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2019-03-20,2023-01-06
COWL,Cowell Development Tbk.,2007-12-19,4871214021.0,Pengembangan,Properties & Real Estate,50,243560701050.0,,,2020-04-16 09:00:00,2022-04-15 16:00:00,2007-12-19,2023-01-06
CPIN,Charoen Pokphand Indonesia Tbk,1991-03-18,16398000000.0,Utama,Consumer Non-Cyclicals,6000,98388000000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
CPRI,Capri Nusa Satu Properti Tbk.,2019-04-11,2433379958.0,Pengembangan,Properties & Real Estate,50,121668997900.0,2022-10-03 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2019-04-11,2023-01-06
CPRO,Central Proteina Prima Tbk.,2006-11-28,59572382787.0,Utama,Consumer Non-Cyclicals,53,3157336287711.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2006-11-28,2023-01-06
CRAB,Toba Surimi Industries Tbk.,2022-08-10,1950000000.0,Pengembangan,Consumer Non-Cyclicals,216,421200000000.0,2022-08-10 09:00:00,2023-01-06 15:59:00,2022-08-10 09:00:00,2023-01-06 15:00:00,2022-08-10,2023-01-06
CSAP,Catur Sentosa Adiprana Tbk.,2007-12-12,4458352920.0,Utama,Consumer Cyclicals,780,3477515277600.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2007-12-12,2023-01-06
CSIS,Cahayasakti Investindo Sukses ,2017-05-10,1307000000.0,Pengembangan,Properties & Real Estate,61,79727000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2017-05-10,2023-01-06
CSMI,Cipta Selera Murni Tbk.,2020-04-09,816061500.0,Pengembangan,Consumer Cyclicals,3150,2570593725000.0,2021-11-01 09:00:00,2022-07-15 15:59:00,2020-04-16 09:00:00,2022-07-15 16:00:00,2020-04-09,2023-01-06
CSRA,Cisadane Sawit Raya Tbk.,2020-01-09,2050000000.0,Utama,Consumer Non-Cyclicals,560,1148000000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2020-01-09,2023-01-06
CTBN,Citra Tubindo Tbk.,1989-11-28,800371500.0,Utama,Basic Materials,1625,1300603687500.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
CTRA,Ciputra Development Tbk.,1994-03-28,18560303397.0,Utama,Properties & Real Estate,890,16518670023330.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
CTTH,Citatah Tbk.,1996-07-03,1230839821.0,Pengembangan,Industrials,50,61541991050.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
DADA,Diamond Citra Propertindo Tbk.,2020-02-14,7178146908.0,Pengembangan,Properties & Real Estate,50,358907345400.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2020-02-14,2023-01-06
DART,Duta Anggada Realty Tbk.,1990-05-08,3141390962.0,Utama,Properties & Real Estate,173,543460636426.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
DAYA,Duta Intidaya Tbk.,2016-06-28,2420547025.0,Pengembangan,Consumer Non-Cyclicals,202,488950499050.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2016-06-28,2023-01-06
DCII,DCI Indonesia Tbk.,2021-01-06,2383745900.0,Pengembangan,Technology,37900,90343969610000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2021-01-06 09:00:00,2023-01-06 15:00:00,2021-01-06,2023-01-06
DEAL,Dewata Freightinternational Tb,2018-11-11,1146170959.0,Pengembangan,Transportation & Logistic,50,57308547950.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2018-11-12,2023-01-06
DEFI,Danasupra Erapacific Tbk.,2001-07-06,687266666.0,Pengembangan,Financials,1455,999972999030.0,2021-11-01 09:00:00,2022-01-07 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-07-06,2023-01-06
DEPO,Caturkarda Depo Bangunan Tbk.,2021-11-25,6790000000.0,Utama,Consumer Cyclicals,482,3272780000000.0,2021-11-25 09:00:00,2023-01-06 15:59:00,2021-11-25 09:00:00,2023-01-06 15:00:00,2021-11-25,2023-01-06
DEWA,Darma Henwa Tbk,2007-09-26,21853733792.0,Utama,Energy,54,1180101624768.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2007-09-26,2023-01-06
DEWI,Dewi Shri Farmindo Tbk.,2022-07-18,2000000000.0,Pengembangan,Consumer Non-Cyclicals,220,440000000000.0,2022-07-18 09:00:00,2023-01-06 15:59:00,2022-07-18 09:00:00,2023-01-06 15:00:00,2022-07-18,2023-01-06
DFAM,Dafam Property Indonesia Tbk.,2018-04-27,1899852850.0,Pengembangan,Consumer Cyclicals,90,170986756500.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2018-04-27,2023-01-06
